,Region,Order.ID,Row.ID,Order.Date,Ship.Date,Ship.Mode,Customer.ID,Customer.Name,Segment,Country,City,State,Postal.Code,Product.ID,Category,Sub.Category,Product.Name,Sales,Quantity,Discount,Profit,Returned,Person,,,
1,Central,CA-2015-139731,1438,10/15/2015,10/15/2015,Same Day,JE-15745,Joel Eaton,Consumer,United States,Amarillo,Texas,79109,TEC-AC-10004975,Technology,Accessories,Plantronics Audio 995 Wireless Stereo Headset,263.88,3,0.2,42.8805,yes,Kelly Williams,,,
2,Central,CA-2016-133550,4672,7/31/2016,8/6/2016,Standard Class,KL-16645,Ken Lonsdale,Consumer,United States,Detroit,Michigan,48205,OFF-AP-10001005,Office Supplies,Appliances,Honeywell Quietcare HEPA Air Cleaner,283.14,4,0.1,72.358,no,Kelly Williams,,,
3,Central,CA-2014-127159,1658,5/12/2014,5/15/2014,First Class,HL-15040,Hunter Lopez,Consumer,United States,Milwaukee,Wisconsin,53209,FUR-FU-10000010,Furniture,Furnishings,"DAX Value U-Channel Document Frames, Easel Back",34.79,7,0,10.7849,no,Kelly Williams,,,
4,Central,CA-2015-121097,3901,1/3/2015,1/8/2015,Standard Class,SF-20965,Sylvia Foulston,Corporate,United States,Baytown,Texas,77520,OFF-PA-10001937,Office Supplies,Paper,Xerox 21,10.368,2,0.2,3.6288,no,Kelly Williams,,,
5,Central,CA-2014-165379,3368,7/9/2014,7/15/2014,Standard Class,BM-11650,Brian Moss,Corporate,United States,Dallas,Texas,75217,OFF-PA-10002245,Office Supplies,Paper,Xerox 1895,14.352,3,0.2,4.485,no,Kelly Williams,,,
6,Central,CA-2015-151589,4811,12/27/2015,12/30/2015,First Class,RE-19450,Richard Eichhorn,Consumer,United States,Eau Claire,Wisconsin,54703,TEC-PH-10004345,Technology,Phones,Cisco SPA 502G IP Phone,239.9,2,0,71.97,no,Kelly Williams,,,
7,Central,CA-2015-130183,9692,11/13/2015,11/17/2015,Standard Class,PO-18850,Patrick O'Brill,Consumer,United States,Houston,Texas,77041,FUR-BO-10001811,Furniture,Bookcases,"Atlantic Metals Mobile 5-Shelf Bookcases, Custom Colors",613.9992,3,0.32,-18.0588,no,Kelly Williams,,,
8,Central,CA-2014-139892,169,9/8/2014,9/12/2014,Standard Class,BM-11140,Becky Martin,Consumer,United States,San Antonio,Texas,78207,OFF-AR-10002656,Office Supplies,Art,Sanford Liquid Accent Highlighters,32.064,6,0.2,6.8136,no,Kelly Williams,,,
9,Central,CA-2016-144764,6765,9/2/2016,9/8/2016,Standard Class,RL-19615,Rob Lucas,Consumer,United States,Chicago,Illinois,60623,TEC-MA-10003230,Technology,Machines,Okidata C610n Printer,1362.9,3,0.3,-19.47,no,Kelly Williams,,,
10,Central,CA-2017-134285,3898,12/7/2017,12/12/2017,Standard Class,DS-13180,David Smith,Corporate,United States,San Antonio,Texas,78207,OFF-PA-10000304,Office Supplies,Paper,Xerox 1995,15.552,3,0.2,5.4432,no,Kelly Williams,,,
11,Central,CA-2014-139892,168,9/8/2014,9/12/2014,Standard Class,BM-11140,Becky Martin,Consumer,United States,San Antonio,Texas,78207,FUR-CH-10004287,Furniture,Chairs,SAFCO Arco Folding Chair,1740.06,9,0.3,-24.858,no,Kelly Williams,,,
12,Central,CA-2015-120901,6074,12/31/2015,1/4/2016,Standard Class,BG-11035,Barry Gonzalez,Consumer,United States,Austin,Texas,78745,OFF-SU-10001225,Office Supplies,Supplies,Staple remover,5.888,2,0.2,-1.3248,no,Kelly Williams,,,
13,Central,CA-2015-153717,4111,12/25/2015,1/1/2016,Standard Class,DL-13495,Dionis Lloyd,Corporate,United States,Detroit,Michigan,48227,FUR-BO-10004360,Furniture,Bookcases,Rush Hierlooms Collection Rich Wood Bookcases,160.98,1,0,20.9274,no,Kelly Williams,,,
14,Central,CA-2015-153381,3426,9/24/2015,9/28/2015,Standard Class,DE-13255,Deanra Eno,Home Office,United States,Dubuque,Iowa,52001,OFF-BI-10001525,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",15.24,4,0,6.858,no,Kelly Williams,,,
15,Central,CA-2014-121006,5169,11/10/2014,11/16/2014,Standard Class,SC-20020,Sam Craven,Consumer,United States,Midland,Michigan,48640,OFF-ST-10004950,Office Supplies,Storage,Acco Perma 3000 Stacking Storage Drawers,62.94,3,0,11.9586,no,Kelly Williams,,,
16,Central,CA-2016-124506,2515,11/11/2016,11/17/2016,Standard Class,BB-11545,Brenda Bowman,Corporate,United States,Chicago,Illinois,60623,FUR-CH-10004540,Furniture,Chairs,Global Chrome Stack Chair,47.992,2,0.3,-2.0568,no,Kelly Williams,,,
17,Central,CA-2014-167927,6332,1/20/2014,1/26/2014,Standard Class,XP-21865,Xylona Preis,Consumer,United States,Westland,Michigan,48185,OFF-AR-10004456,Office Supplies,Art,Panasonic KP-4ABK Battery-Operated Pencil Sharpener,43.92,3,0,12.7368,no,Kelly Williams,,,
18,Central,CA-2014-152618,9407,3/14/2014,3/17/2014,First Class,RB-19465,Rick Bensley,Home Office,United States,Chicago,Illinois,60653,OFF-PA-10001215,Office Supplies,Paper,Xerox 1963,8.448,2,0.2,2.64,no,Kelly Williams,,,
19,Central,CA-2017-101728,4921,8/19/2017,8/23/2017,Standard Class,SC-20575,Sonia Cooley,Consumer,United States,Chicago,Illinois,60653,OFF-BI-10002393,Office Supplies,Binders,Binder Posts,2.296,2,0.8,-3.9032,no,Kelly Williams,,,
20,Central,CA-2015-153717,4110,12/25/2015,1/1/2016,Standard Class,DL-13495,Dionis Lloyd,Corporate,United States,Detroit,Michigan,48227,TEC-PH-10002923,Technology,Phones,"Logitech B530 USB Headset? headset? Full size, Binaural",73.98,2,0,19.9746,no,Kelly Williams,,,
21,Central,CA-2014-111150,2007,12/31/2014,1/4/2015,Standard Class,RW-19630,Rob Williams,Corporate,United States,Columbia,Missouri,65203,TEC-AC-10000290,Technology,Accessories,Sabrent 4-Port USB 2.0 Hub,47.53,7,0,16.1602,no,Kelly Williams,,,
22,Central,CA-2014-165309,3330,11/11/2014,11/15/2014,Standard Class,KD-16270,Karen Daniels,Consumer,United States,Houston,Texas,77095,TEC-PH-10003505,Technology,Phones,Geemarc AmpliPOWER60,148.48,2,0.2,16.704,no,Kelly Williams,,,
23,Central,CA-2015-107083,8765,11/21/2015,11/27/2015,Standard Class,BB-11545,Brenda Bowman,Corporate,United States,Fort Worth,Texas,76106,OFF-AR-10002257,Office Supplies,Art,"Eldon Spacemaker Box, Quick-Snap Lid, Clear",5.344,2,0.2,0.7348,no,Kelly Williams,,,
24,Central,CA-2017-100951,5362,6/9/2017,6/10/2017,First Class,NC-18625,Noah Childs,Corporate,United States,Dallas,Texas,75217,OFF-ST-10001496,Office Supplies,Storage,Standard Rollaway File with Lock,720.76,5,0.2,54.057,no,Kelly Williams,,,
25,Central,CA-2016-111794,2668,10/1/2016,10/1/2016,Same Day,HG-15025,Hunter Glantz,Consumer,United States,Amarillo,Texas,79109,OFF-PA-10000474,Office Supplies,Paper,Easy-staple paper,28.352,1,0.2,9.5688,no,Kelly Williams,,,
26,Central,CA-2017-131618,2502,6/17/2017,6/20/2017,First Class,LS-17200,Luke Schmidt,Corporate,United States,Skokie,Illinois,60076,OFF-BI-10000546,Office Supplies,Binders,Avery Durable Binders,2.304,4,0.8,-3.5712,yes,Kelly Williams,,,
27,Central,CA-2015-156608,5487,10/24/2015,10/29/2015,Standard Class,MT-18070,Michelle Tran,Home Office,United States,San Antonio,Texas,78207,OFF-BI-10004140,Office Supplies,Binders,Avery Non-Stick Binders,3.592,4,0.8,-6.286,no,Kelly Williams,,,
28,Central,CA-2015-141810,9194,11/2/2015,11/7/2015,Standard Class,BB-10990,Barry Blumstein,Corporate,United States,San Antonio,Texas,78207,TEC-PH-10002200,Technology,Phones,Aastra 6757i CT Wireless VoIP phone,344.704,2,0.2,38.7792,no,Kelly Williams,,,
29,Central,CA-2016-157000,188,7/16/2016,7/22/2016,Standard Class,AM-10360,Alice McCarthy,Corporate,United States,Grand Prairie,Texas,75051,OFF-ST-10001328,Office Supplies,Storage,"Personal Filing Tote with Lid, Black/Gray",37.224,3,0.2,3.7224,no,Kelly Williams,,,
30,Central,CA-2014-126193,9480,9/7/2014,9/14/2014,Standard Class,SS-20410,Shahid Shariari,Consumer,United States,Oswego,Illinois,60543,OFF-BI-10001249,Office Supplies,Binders,Avery Heavy-Duty EZD View Binder with Locking Rings,3.828,3,0.8,-6.5076,no,Kelly Williams,,,
31,Central,CA-2017-109960,3652,12/9/2017,12/11/2017,Second Class,DB-13210,Dean Braden,Consumer,United States,Detroit,Michigan,48234,OFF-AR-10001860,Office Supplies,Art,BIC Liqua Brite Liner,34.7,5,0,12.492,no,Kelly Williams,,,
